Date_heure	Code_erreur	Description	Objet	Commentaire
06/06/2012 13:12:51	 6	Overflow	St-Graph / Get_Put_image	
06/06/2012 13:12:51	 480	Can't create AutoRedraw image	St-Graph / Get_Put_image	
06/06/2012 13:12:52	 480	Can't create AutoRedraw image	St-Graph / Get_Put_image	
06/06/2012 13:12:53	 6	Overflow	St-Graph / Get_Put_image	
06/06/2012 13:12:53	 480	Can't create AutoRedraw image	St-Graph / Get_Put_image	
06/06/2012 13:12:54	 6	Overflow	St-Graph / Get_Put_image	
06/06/2012 13:12:54	 6	Overflow	St-Graph / Get_Put_image	
06/06/2012 13:12:54	 6	Overflow	St-Graph / Get_Put_image	
06/06/2012 13:12:54	 6	Overflow	St-Graph / Get_Put_image	
06/06/2012 13:12:54	 6	Overflow	St-Graph / Get_Put_image	
06/06/2012 13:12:54	 480	Can't create AutoRedraw image	St-Graph / Get_Put_image	
06/06/2012 13:12:56	 480	Can't create AutoRedraw image	St-Graph / Get_Put_image	
06/06/2012 13:12:57	 6	Overflow	St-Graph / Get_Put_image	
06/06/2012 13:12:58	 480	Can't create AutoRedraw image	St-Graph / Get_Put_image	
06/06/2012 13:12:58	 6	Overflow	St-Graph / Get_Put_image	
06/06/2012 13:12:58	 6	Overflow	St-Graph / Get_Put_image	
06/06/2012 13:12:58	 6	Overflow	St-Graph / Get_Put_image	
06/06/2012 13:12:58	 6	Overflow	St-Graph / Get_Put_image	
06/06/2012 13:12:58	 6	Overflow	St-Graph / Get_Put_image	
06/06/2012 13:12:58	 480	Can't create AutoRedraw image	St-Graph / Get_Put_image	
06/06/2012 13:12:59	 480	Can't create AutoRedraw image	St-Graph / Get_Put_image	
06/06/2012 13:13:01	 6	Overflow	St-Graph / Get_Put_image	
06/06/2012 13:13:01	 480	Can't create AutoRedraw image	St-Graph / Get_Put_image	
06/06/2012 13:13:01	 6	Overflow	St-Graph / Get_Put_image	
06/06/2012 13:13:01	 6	Overflow	St-Graph / Get_Put_image	
06/06/2012 13:13:01	 6	Overflow	St-Graph / Get_Put_image	
06/06/2012 13:13:02	 6	Overflow	St-Graph / Get_Put_image	
06/06/2012 13:13:02	 6	Overflow	St-Graph / Get_Put_image	
06/06/2012 13:13:02	 480	Can't create AutoRedraw image	St-Graph / Get_Put_image	
06/06/2012 13:13:03	 480	Can't create AutoRedraw image	St-Graph / Get_Put_image	
06/06/2012 13:13:04	 6	Overflow	St-Graph / Get_Put_image	
06/06/2012 13:13:05	 480	Can't create AutoRedraw image	St-Graph / Get_Put_image	
06/06/2012 13:13:05	 6	Overflow	St-Graph / Get_Put_image	
06/06/2012 13:13:05	 6	Overflow	St-Graph / Get_Put_image	
06/06/2012 13:13:05	 6	Overflow	St-Graph / Get_Put_image	
06/06/2012 13:13:05	 6	Overflow	St-Graph / Get_Put_image	
06/06/2012 13:13:06	 6	Overflow	St-Graph / Get_Put_image	
06/06/2012 13:13:06	 480	Can't create AutoRedraw image	St-Graph / Get_Put_image	
06/06/2012 13:13:07	 480	Can't create AutoRedraw image	St-Graph / Get_Put_image	
06/06/2012 13:13:09	 6	Overflow	St-Graph / Get_Put_image	
06/06/2012 13:13:09	 480	Can't create AutoRedraw image	St-Graph / Get_Put_image	
06/06/2012 13:13:09	 6	Overflow	St-Graph / Get_Put_image	
06/06/2012 13:13:09	 6	Overflow	St-Graph / Get_Put_image	
06/06/2012 13:13:09	 6	Overflow	St-Graph / Get_Put_image	
06/06/2012 13:13:09	 6	Overflow	St-Graph / Get_Put_image	
06/06/2012 13:13:09	 6	Overflow	St-Graph / Get_Put_image	
06/06/2012 13:13:09	 480	Can't create AutoRedraw image	St-Graph / Get_Put_image	
06/06/2012 13:13:12	 480	Can't create AutoRedraw image	St-Graph / Get_Put_image	
06/06/2012 13:13:13	 6	Overflow	St-Graph / Get_Put_image	
06/06/2012 13:13:13	 480	Can't create AutoRedraw image	St-Graph / Get_Put_image	
06/06/2012 13:13:13	 6	Overflow	St-Graph / Get_Put_image	
06/06/2012 13:13:13	 480	Can't create AutoRedraw image	St-Graph / Get_Put_image	
06/06/2012 13:13:14	 6	Overflow	St-Graph / Get_Put_image	
06/06/2012 13:13:14	 6	Overflow	St-Graph / Get_Put_image	
06/06/2012 13:13:14	 6	Overflow	St-Graph / Get_Put_image	
06/06/2012 13:13:14	 6	Overflow	St-Graph / Get_Put_image	
06/06/2012 13:17:19	 5	Illegal function call	Boite_Diedres_Droits / commande_commence_Click	
02/02/2014 18:27:30	 5	Illegal function call	Boite_Diedres_Droits / commande_commence_Click	
